,alignment,condition,accuracy,sub,age,gender
350,misaligned,different,0.4,R52TRD,4.027397260273973,m
351,misaligned,different,1.0,ZJPWHP,6.328767123287672,m
352,misaligned,different,0.0,RJRCRR,5.917808219178082,f
353,misaligned,different,0.0,CECNMS,4.3561643835616435,m
354,misaligned,different,1.0,5cKP4G,6.410958904109589,m
355,misaligned,different,0.3333333333333333,SNURNN,4.52054794520548,m
356,misaligned,different,0.8333333333333334,7AZPQD,4.438356164383562,f
357,misaligned,different,0.8333333333333334,2TGKCT,6.657534246575342,f
358,misaligned,different,1.0,K6FGHF,6.493150684931507,m
359,misaligned,different,1.0,dEEK22,6.739726027397261,f
360,misaligned,different,1.0,ZRHCPK,4.273972602739726,m
361,misaligned,different,0.8333333333333334,dcXZY4,6.904109589041096,m
362,misaligned,different,0.5,7BKKNM,4.3561643835616435,f
363,misaligned,different,0.75,MR5U5N,4.3561643835616435,m
364,misaligned,different,1.0,5SAMNS,5.589041095890411,m
365,misaligned,different,1.0,C57ASP,6.904109589041096,m
366,misaligned,different,0.6666666666666666,LA6RF5,5.260273972602739,m
367,misaligned,different,1.0,42cZAM,6.657534246575342,f
368,misaligned,different,0.8333333333333334,TLLBVC,6.986301369863014,f
369,misaligned,different,0.4,RNcVC3,4.684931506849315,f
370,misaligned,different,0.6,2G2AL4,4.3561643835616435,m
371,misaligned,different,0.8333333333333334,X37SMJ,5.917808219178082,f
372,misaligned,different,0.5,G277c4,4.109589041095891,m
373,misaligned,different,0.8,Uc5HAY,6.2465753424657535,f
374,misaligned,different,0.8333333333333334,dHWQWK,5.7534246575342465,f
375,misaligned,different,0.0,46QP6X,4.684931506849315,f
376,misaligned,different,0.8,PD62cC,4.191780821917808,f
377,misaligned,different,0.4,RKQERS,4.109589041095891,m
378,misaligned,different,0.8333333333333334,QYYW46,5.342465753424658,f
379,misaligned,different,0.8333333333333334,CdBSPP,4.109589041095891,f
380,misaligned,different,1.0,F4LDT2,5.260273972602739,m
381,misaligned,different,1.0,c2JcAQ,4.931506849315069,m
382,misaligned,different,0.8333333333333334,34RM3G,6.575342465753424,m
383,misaligned,different,0.8333333333333334,FKJTLd,4.191780821917808,m
384,misaligned,different,0.8333333333333334,MX7YEJ,6.575342465753424,m
385,misaligned,different,0.0,XUS5CL,4.109589041095891,f
386,misaligned,different,0.8333333333333334,DH27SD,6.0,m
387,misaligned,different,0.8333333333333334,KKY3TT,5.342465753424658,f
388,misaligned,different,0.16666666666666666,QE5J2H,5.424657534246576,m
389,misaligned,different,0.8333333333333334,WScYBT,5.7534246575342465,m
390,misaligned,different,1.0,VYHNXF,6.328767123287672,m
391,misaligned,different,0.8333333333333334,RU4MYJ,4.438356164383562,m
392,misaligned,different,0.6666666666666666,BNRGKZ,5.260273972602739,f
393,misaligned,different,1.0,RRA4CB,5.506849315068493,f
394,misaligned,different,0.8333333333333334,GYYNLD,4.3561643835616435,m
395,misaligned,different,0.6666666666666666,RNCZJc,6.739726027397261,m
396,misaligned,different,0.8,RP2HDS,6.904109589041096,f
397,misaligned,different,0.2,EHHRXd,4.767123287671233,m
398,misaligned,different,0.0,NTYN3N,5.095890410958904,f
399,aligned,different,0.3333333333333333,UX6XX6,4.931506849315069,m
400,aligned,different,1.0,ZFEcFW,4.191780821917808,f
401,aligned,different,0.6666666666666666,FMNR4U,4.602739726027397,f
402,aligned,different,1.0,QWFWAQ,6.904109589041096,f
403,aligned,different,1.0,PHM3KT,5.835616438356165,f
404,aligned,different,0.8333333333333334,TMBc4N,4.931506849315069,m
405,aligned,different,1.0,NRHSFK,5.506849315068493,m
406,aligned,different,0.4,BK45G2,4.767123287671233,m
407,aligned,different,1.0,ADUJcY,6.082191780821918,m
408,aligned,different,0.8,YdTJH7,5.424657534246576,f
409,aligned,different,1.0,TKA647,4.109589041095891,m
410,aligned,different,0.8333333333333334,JLCN7S,5.506849315068493,f
411,aligned,different,1.0,3R2CUC,5.835616438356165,f
412,aligned,different,0.5,LcYFQM,5.506849315068493,f
413,aligned,different,0.6,BUR2PY,4.191780821917808,m
414,aligned,different,1.0,EV5Z3R,5.671232876712328,m
415,aligned,different,0.4,WKCNHd,5.260273972602739,m
416,aligned,different,1.0,REMYW7,4.273972602739726,f
417,aligned,different,1.0,CVLEAG,4.8493150684931505,f
418,aligned,different,1.0,W7Y6C5,5.424657534246576,m
419,aligned,different,0.8333333333333334,KEEN74,5.589041095890411,m
420,aligned,different,0.6666666666666666,ACXXZ7,4.767123287671233,m
421,aligned,different,1.0,VLB4L4,5.671232876712328,f
422,aligned,different,0.16666666666666666,EQXFYM,5.095890410958904,m
423,aligned,different,1.0,Z7CAJd,6.082191780821918,f
424,aligned,different,1.0,7P6WGH,5.917808219178082,f
425,aligned,different,1.0,GC34M3,4.602739726027397,f
426,aligned,different,1.0,5QcHDS,4.3561643835616435,f
427,aligned,different,0.3333333333333333,4ST2Rd,4.684931506849315,m
428,aligned,different,0.6,QLJ6L2,4.273972602739726,f
429,aligned,different,1.0,VL6G4F,4.602739726027397,m
430,aligned,different,0.6,CQNccL,5.013698630136986,f
431,aligned,different,1.0,VARPcD,4.767123287671233,f
432,aligned,different,1.0,A2VYCT,5.342465753424658,f
433,aligned,different,1.0,cFUURR,6.410958904109589,f
