,alignment,condition,time_screen,sub,age,gender
323,misaligned,different,3.7333333333333343,U672B2,5.835616438356165,f
324,misaligned,different,2.298,WF4NVS,4.684931506849315,m
325,misaligned,different,2.5,FWYC7C,5.424657534246576,f
326,misaligned,different,7.516666666666667,PB3BCS,4.767123287671233,f
327,misaligned,different,3.4499999999999997,TNSEWV,4.767123287671233,m
328,misaligned,different,2.6133333333333337,V72TLK,6.739726027397261,f
329,misaligned,different,4.380000000000001,XV65MW,6.164383561643835,f
330,misaligned,different,2.4,WWYcKQ,5.424657534246576,f
331,misaligned,different,3.5833333333333335,ZAMEDX,4.191780821917808,m
332,misaligned,different,4.116666666666667,QPRR32,6.904109589041096,f
333,misaligned,different,5.883333333333334,3W34dW,6.0,f
334,misaligned,different,2.566666666666667,PHFCV3,5.342465753424658,f
335,misaligned,different,1.6,VFFF4H,4.191780821917808,m
336,misaligned,different,2.64,CJdTB6,4.3561643835616435,m
337,misaligned,different,2.483333333333333,TV373M,6.657534246575342,m
338,misaligned,different,3.8666666666666667,CRVCXD,6.986301369863014,m
339,misaligned,different,4.78,YPdQNV,4.109589041095891,f
340,misaligned,different,3.0999999999999996,7cNKKD,5.342465753424658,m
341,misaligned,different,5.133333333333334,CZGRED,5.506849315068493,m
342,misaligned,different,2.4199999999999995,663UJX,6.986301369863014,f
343,misaligned,different,1.5333333333333332,KMGJCF,6.575342465753424,m
344,misaligned,different,2.412,FZLQ2Y,4.602739726027397,m
345,misaligned,different,1.5166666666666666,33UX2S,5.7534246575342465,f
346,misaligned,different,1.86,H2VVXG,4.191780821917808,f
347,misaligned,different,1.9166666666666667,F4AJSB,5.342465753424658,m
348,misaligned,different,4.083333333333333,4UE4J2,5.506849315068493,m
349,misaligned,different,4.083333333333333,ZTYVTW,4.027397260273973,f
350,misaligned,different,11.280000000000001,R52TRD,4.027397260273973,m
351,misaligned,different,2.1733333333333333,ZJPWHP,6.328767123287672,m
352,misaligned,different,3.9299999999999997,RJRCRR,5.917808219178082,f
353,misaligned,different,2.3600000000000003,CECNMS,4.3561643835616435,m
354,misaligned,different,5.433333333333334,5cKP4G,6.410958904109589,m
355,misaligned,different,5.6000000000000005,SNURNN,4.52054794520548,m
356,misaligned,different,2.6666666666666665,7AZPQD,4.438356164383562,f
357,misaligned,different,3.6666666666666665,2TGKCT,6.657534246575342,f
358,misaligned,different,1.1199999999999999,K6FGHF,6.493150684931507,m
359,misaligned,different,1.5,dEEK22,6.739726027397261,f
360,misaligned,different,3.033333333333333,ZRHCPK,4.273972602739726,m
361,misaligned,different,2.388333333333333,dcXZY4,6.904109589041096,m
362,misaligned,different,3.266666666666666,7BKKNM,4.3561643835616435,f
363,misaligned,different,3.9999999999999996,MR5U5N,4.3561643835616435,m
364,misaligned,different,1.8,5SAMNS,5.589041095890411,m
365,misaligned,different,5.168333333333333,C57ASP,6.904109589041096,m
366,misaligned,different,4.215000000000001,LA6RF5,5.260273972602739,m
367,misaligned,different,2.1016666666666666,42cZAM,6.657534246575342,f
368,misaligned,different,8.379999999999999,TLLBVC,6.986301369863014,f
369,misaligned,different,1.7280000000000002,RNcVC3,4.684931506849315,f
370,misaligned,different,2.28,2G2AL4,4.3561643835616435,m
371,misaligned,different,7.006666666666667,X37SMJ,5.917808219178082,f
372,misaligned,different,6.850000000000001,G277c4,4.109589041095891,m
373,misaligned,different,4.002000000000001,Uc5HAY,6.2465753424657535,f
374,misaligned,different,1.6500000000000001,dHWQWK,5.7534246575342465,f
375,misaligned,different,4.545999999999999,46QP6X,4.684931506849315,f
376,misaligned,different,3.19,PD62cC,4.191780821917808,f
